"","ROI"
"181",35153.244052546
"182",20130.6097726068
"183",26248.4652037084
"184",31396.3179225783
"185",18256.0414010485
"186",10447.8380584859
"187",29934.6476442987
"188",41512.576102129
"189",NA
"190",19437.4593619161
"191",23644.9688542694
"192",15434.203783252
"193",9653.72766058429
"194",20579.5693003367
"195",NA
"196",30612.3083123408
"197",10476.5117896816
"198",131907.363893474
"199",9345.90798790952
"200",16792.7159310282
"201",NA
"202",13059.3746549679
"203",28024.846941906
"204",NA
"205",25662.8386555399
"206",28455.3183199
"207",NA
"208",19464.8707414134
"209",34876.4682576261
"210",19441.2426709065
"211",NA
"212",17103.0347338093
"213",NA
"214",25378.9538440883
"215",29669.3027072188
"216",22628.0610420162
"217",27522.5849481964
"218",19734.3554971966
"219",14825.3811862857
"220",8891.33985040269
"221",34929.7841942005
"222",24083.1867051157
"223",12910.1551516237
"224",13860.8539952035
"225",23388.6199744019
"226",29245.5426085223
"227",29133.071400986
"228",NA
"229",NA
"230",25624.1863315206
"231",21032.3097452907
"232",19697.2063395912
"233",32357.2244158439
"234",38242.4498058482
"235",46022.0655669165
"236",11554.0660357949
"237",27675.3352837224
"238",34413.3107185743
"239",20015.9269156992
"240",20060.9370929598
"241",61508.5668525328
"242",20665.5580259802
"243",18987.7805306796
"244",17072.8662756916
"245",23658.7286850254
"246",17597.4664085967
"247",5903.34241379044
"248",NA
"249",NA
"250",35372.6784675784
"251",39643.6767087343
"252",19487.3762790257
"253",25965.4167235524
"254",22803.7832039093
"255",25744.7074390667
"256",18149.1356292503
"257",25802.6997109591
"258",NA
"259",41415.6263545479
"260",30456.6625441868
"261",22665.8932921324
"262",14803.2596666965
"263",NA
"264",18040.3491833369
"265",NA
"266",NA
"267",11105.9439299942
"268",NA
"269",12303.0257184691
"270",22839.1273552956
"271",NA
"272",28011.1740953866
"273",NA
"274",8972.18811990992
"275",44469.7030627898
"276",49243.7782892272
"277",31717.3997184228
"278",33353.2344913721
"279",26264.7623293141
"280",21578.7103756695
"281",NA
"282",NA
"283",23455.1819036995
"284",NA
"285",22122.5865796235
"286",NA
"287",NA
"288",43175.022372719
"289",14217.4911500655
"290",17590.3601365713
"291",9603.90997374465
"292",65485.1750718898
"293",6755.01316756858
"294",18730.5326699531
"295",36096.1376268632
"296",22673.0946418449
"297",35807.1932275215
"298",15824.2906319763
"299",9648.40289334295
"300",26088.8246884731
"301",20605.6267763087
"302",9710.57220559087
"303",35657.6151697739
"304",47854.6826016677
"305",NA
"306",NA
"307",NA
"308",NA
"309",16462.2803027172
"310",31191.287478053
"311",12823.9926629366
"312",22446.9190713723
"313",NA
"314",NA
"315",32532.1614862216
"316",14746.7044917335
"317",44339.9202432075
"318",19029.5642465565
"319",99881.2313383633
"320",33654.7485553572
"321",NA
"322",35390.8096773506
"323",NA
"324",NA
"325",48829.756235712
"326",43956.4552623174
"327",6901.96283150207
"328",17596.2021480708
"329",18085.2342584936
"330",24367.6435692819
"331",16689.5243494697
"332",NA
"333",NA
"334",NA
"335",25742.8833880906
"336",NA
"337",23566.9437170157
"338",NA
"339",20971.045554228
"340",21472.0261360632
"341",NA
"342",14829.277995359
"343",NA
"344",NA
"345",NA
"346",NA
"347",8521.01188260062
"348",31155.8250738201
"349",20870.723804725
"350",47854.1424730536
"351",36175.5380114526
"352",NA
"353",9233.78304288159
"354",20304.2227169531
"355",24247.1135014022
"356",16094.9932121156
"357",23485.0350433964
"358",18577.9309713215
"359",14539.5597417823
"360",18090.9279379142
"361",18627.8205386561
"362",39882.398255333
"363",31131.777835904
"364",NA
"365",NA
"366",45072.9641649124
"367",26698.7367627643
"368",18834.5195345046
"369",NA
"370",27099.543501197
"371",21030.590395053
"372",11456.5031795851
"373",49454.0753235646
"374",45644.9953168428
"375",29019.4710263174
"376",16710.1589093958
"377",78108.3929501024
"378",21714.8926207936
"379",NA
"380",42911.5574938793
"381",15012.5936227919
"382",NA
"383",NA
"384",7217.32842111713
"385",NA
"386",64974.5586416735
"387",22960.0842312991
"388",37144.5340656757
"389",17499.1204525685
"390",20402.265316362
"391",66468.2740783244
"392",NA
"393",37283.56175643
"394",NA
"395",24490.4983084062
"396",25842.4435139554
"397",NA
"398",4590.90633517405
"399",18018.127621546
"400",NA
"401",5847.74788824287
"402",12221.5837405767
