"","X","sale_price","size","Address","Cities","Postal.Code","State","lon","lat","Full.Address","sqft","bath","bed","psf","Predicted.Occupancy.per.yr","ROI"
"10938",10938,499500,"3bd2ba1,794 sqft","54 Grand View Rd","East greenwich",2818,"RI",-71.4707276,41.6411104,"54 grand view rd, east greenwich, ri 02818, usa",1794,2,3,278.43,194.8297095,NA
"10939",10939,424900,"4bd3ba3,831 sqft (on 0.31 acres)","54 Hillview Ave","North smithfield",2896,"RI",-71.5406578,41.992398,"54 hillview ave, north smithfield, ri 02896, usa",3831,3,4,110.91,194.9792393,NA
"10940",10940,269900,"2bd2ba908 sqft (on 0.25 acres)","120 Wilmarth Ave","East providence",2914,"RI",-71.3694599,41.8265611,"120 wilmarth ave, east providence, ri 02914, usa",908,2,2,297.25,229.5718397,0.0744258465015146
"10941",10941,4e+05,"4bd3ba4,900 sqft","181 Benefit St","Pawtucket",2861,"RI",-71.3636397,41.8924833,"181 benefit st, pawtucket, ri 02861, usa",4900,3,4,81.63,189.6666412,0.0730216568490595
"10942",10942,420000,"3bd2ba1,632 sqft","250 Ronald Ave","Cumberland",2864,"RI",-71.4053063,41.9532024,"250 ronald ave, cumberland, ri 02864, usa",1632,2,3,257.35,220.5235377,NA
"10943",10943,599900,"3bd3ba2,100 sqft","477 Louise St","Woonsocket",2895,"RI",-71.4870039,41.9818445,"477 louise st, woonsocket, ri 02895, usa",2100,3,3,285.67,217.4967423,NA
"10944",10944,589000,"2bd1ba924 sqft","31 S River Dr","Narragansett",2882,"RI",-71.4476309,41.4724123,"31 s river dr, narragansett, ri 02882, usa",924,1,2,637.45,211.1724741,0.0324325089926365
"10945",10945,649900,"3bd3ba1,486 sqft","49 Jewett St","Providence",2908,"RI",-71.4190595,41.8319973,"49 jewett st, providence, ri 02908, usa",1486,3,3,437.35,205.4330498,0.049469568069395
"10946",10946,760000,"10bd4ba4,083 sqft","78 America St","Providence",2903,"RI",-71.4269911,41.8216112,"78 america st, providence, ri 02903, usa",4083,4,10,186.14,275.0905793,0.158369069772786
"10947",10947,879900,"3bd3ba2,450 sqft (on 2.60 acres)","108 White Birch Cir","Scituate",2831,"RI",-71.566878,41.7678033,"108 white birch cir, hope, ri 02831, usa",2450,3,3,359.14,210.0323161,NA
