"sale_price","size","name"
"$425,000","3bd2ba1,504 sqft (on 1.07 acres)","31 Forest Creek Dr, Asheville, NC 28806LISTED 23 DAYS AGO"
"$1,150,000","4bd4ba3,442 sqft (on 0.55 acres)","14 Bent Oak Ln, Asheville, NC 28803LISTED 26 DAYS AGO"
"$1,595,000","5bd5ba4,606 sqft (on 0.63 acres)","24 Lakeview Rd, Asheville, NC 28804LISTED 32 DAYS AGO"
"$550,000","3bd3ba2,576 sqft (on 0.44 acres)","117 Cherry Meadows Way, Asheville, NC 28806LISTED 29 DAYS AGO"
"$175,000","","404 Blue Mind Way  #76, Asheville, NC 28804LISTED 24 DAYS AGO"
"$225,000","","405 Blue Mind Way  #73, Asheville, NC 28804LISTED 24 DAYS AGO"
"$365,000","","139 Upperfell Ct   #717, Asheville, NC 28803LISTED 24 DAYS AGO"
"$69,000","","67 Gaston Mountain Rd   #33, Asheville, NC 28806LISTED 24 DAYS AGO"
"$995,000","4bd5ba2,883 sqft","8 Short St, Asheville, NC 28801LISTED 24 DAYS AGO"
"$299,900","3bd1ba1,372 sqft (on 0.34 acres)","740 Fairview Rd, Asheville, NC 28803LISTED 24 DAYS AGO"
"$395,000","3bd2ba1,641 sqft (on 0.90 acres)","40 Lawterdale Rd, Asheville, NC 28804LISTED 24 DAYS AGO"
"$600,000","4bd3ba1,876 sqft","26 Reagan Run Ct   #8, Arden, NC 28704LISTED 25 DAYS AGO"
"$750,000","4bd3ba2,485 sqft","34 Myrtle Lee Cv   #4, Arden, NC 28704LISTED 25 DAYS AGO"
"$899,000","4bd5ba4,000 sqft (on 4.38 acres)","41 Beck Dr, Asheville, NC 28806LISTED 25 DAYS AGO"
"$400,000","3bd2ba1,275 sqft (on 0.70 acres)","42 Carlton Pl, Asheville, NC 28806LISTED 25 DAYS AGO"
"$365,000","3bd2ba1,350 sqft","10 Miami Cir, Arden, NC 28704LISTED 25 DAYS AGO"
"$600,000","3bd3ba3,444 sqft (on 0.50 acres)","27 Rolling Hill Dr, Asheville, NC 28806LISTED 25 DAYS AGO"
"$600,000","3bd3ba2,500 sqft (on 0.50 acres)","27 Rolling Hill Dr   #1, Asheville, NC 28806LISTED 26 DAYS AGO"
"$95,000","","Starling Pass #93, Asheville, NC 28804LISTED 26 DAYS AGO"
"$425,000","4bd4ba2,889 sqft","503 Woodfield Dr   #E3, Asheville, NC 28803LISTED 26 DAYS AGO"
"","Studio","Homes Available Soon Plan in The Townes at Hamrick Farms, Candler, NC 28715"
